,Entity,Code,Year,Meat Production (tonnes)
736,Australia & New Zealand,,2005,5344795
11344,Spain,ESP,2002,5344365
516,Argentina,ARG,2013,5344253
9917,Russia,RUS,1996,5324850
7511,Mexico,MEX,2005,5322138
9927,Russia,RUS,2006,5318552
735,Australia & New Zealand,,2004,5318240
1546,Brazil,BRA,1980,5316689
11347,Spain,ESP,2005,5308965
11351,Spain,ESP,2009,5305567
11348,Spain,ESP,2006,5303133
4536,Germany,DEU,1968,5288062
5502,India,IND,2006,5281253
8803,Northern Africa,,2011,5271079
9023,Oceania,,1999,5253682
517,Argentina,ARG,2014,5239722
13065,Vietnam,VNM,2018,5227733
11346,Spain,ESP,2004,5224113
8804,Northern Africa,,2012,5223923
732,Australia & New Zealand,,2001,5202532
733,Australia & New Zealand,,2002,5186732
734,Australia & New Zealand,,2003,5151255
3350,Eastern Africa,,2017,5127753
8802,Northern Africa,,2010,5121984
5501,India,IND,2005,5117266
7510,Mexico,MEX,2004,5109399
13064,Vietnam,VNM,2017,5072358
11343,Spain,ESP,2001,5055243
9021,Oceania,,1997,5043730
9925,Russia,RUS,2004,5039206
515,Argentina,ARG,2012,5017726
4229,France,FRA,1978,5012185
731,Australia & New Zealand,,2000,5010671
9924,Russia,RUS,2003,4999521
511,Argentina,ARG,2008,4997075
9926,Russia,RUS,2005,4980500
4227,France,FRA,1976,4973602
5500,India,IND,2004,4971239
729,Australia & New Zealand,,1998,4969981
688,Australia,AUS,2015,4968801
4535,Germany,DEU,1967,4959536
9019,Oceania,,1995,4945571
13063,Vietnam,VNM,2016,4938792
9018,Oceania,,1994,4924568
11342,Spain,ESP,2000,4913020
7509,Mexico,MEX,2003,4912914
510,Argentina,ARG,2007,4912720
11341,Spain,ESP,1999,4909168
2048,Canada,CAN,2018,4893195
8801,Northern Africa,,2009,4881882
687,Australia,AUS,2014,4880682
4228,France,FRA,1977,4878980
9020,Oceania,,1996,4878647
3349,Eastern Africa,,2016,4869079
730,Australia & New Zealand,,1999,4866618
9016,Oceania,,1992,4858251
9918,Russia,RUS,1997,4846030
11340,Spain,ESP,1998,4839062
5499,India,IND,2003,4836330
4226,France,FRA,1975,4832711
4225,France,FRA,1974,4829605
7508,Mexico,MEX,2002,4829238
4534,Germany,DEU,1966,4798895
9017,Oceania,,1993,4796308
514,Argentina,ARG,2011,4781299
3348,Eastern Africa,,2015,4776858
2047,Canada,CAN,2017,4772748
1545,Brazil,BRA,1979,4768181
9923,Russia,RUS,2002,4738729
8800,Northern Africa,,2008,4730923
513,Argentina,ARG,2010,4721922
13062,Vietnam,VNM,2015,4709383
5498,India,IND,2002,4699504
689,Australia,AUS,2016,4698515
9919,Russia,RUS,1998,4693208
2399,China,CHN,1963,4689616
4533,Germany,DEU,1965,4682940
3347,Eastern Africa,,2014,4674970
728,Australia & New Zealand,,1997,4668612
9015,Oceania,,1991,4661067
691,Australia,AUS,2018,4658530
7507,Mexico,MEX,2001,4636828
509,Argentina,ARG,2006,4629501
8799,Northern Africa,,2007,4624771
2046,Canada,CAN,2016,4615071
2034,Canada,CAN,2004,4597690
2035,Canada,CAN,2005,4593790
4532,Germany,DEU,1964,4593080
726,Australia & New Zealand,,1995,4587580
725,Australia & New Zealand,,1994,4575442
686,Australia,AUS,2013,4541944
2038,Canada,CAN,2008,4536970
508,Argentina,ARG,2005,4532427
723,Australia & New Zealand,,1992,4532083
3346,Eastern Africa,,2013,4528059
9002,Oceania,,1978,4525274
5497,India,IND,2001,4520651
727,Australia & New Zealand,,1996,4512204
9014,Oceania,,1990,4499961
13061,Vietnam,VNM,2014,4497380
9012,Oceania,,1988,4481541
9922,Russia,RUS,2001,4474201
7506,Mexico,MEX,2000,4464053
9564,Poland,POL,2018,4462900
724,Australia & New Zealand,,1993,4459928
9921,Russia,RUS,2000,4453444
5496,India,IND,2000,4448715
4224,France,FRA,1973,4447240
2039,Canada,CAN,2009,4445520
2045,Canada,CAN,2015,4445178
690,Australia,AUS,2017,4444429
2040,Canada,CAN,2010,4440630
2036,Canada,CAN,2006,4438880
2037,Canada,CAN,2007,4429580
4222,France,FRA,1971,4427659
4531,Germany,DEU,1963,4402900
8798,Northern Africa,,2006,4400061
1544,Brazil,BRA,1978,4393098
3345,Eastern Africa,,2012,4382160
4223,France,FRA,1972,4377051
9011,Oceania,,1987,4361608
2044,Canada,CAN,2014,4354538
2041,Canada,CAN,2011,4353612
9013,Oceania,,1989,4351182
722,Australia & New Zealand,,1991,4343433
5495,India,IND,1999,4342568
9563,Poland,POL,2017,4337621
9003,Oceania,,1979,4328179
9920,Russia,RUS,1999,4320872
7505,Mexico,MEX,1999,4319526
