,Year,T_CelsiusMEX,T_FarenheitMEX,dT_Celsius_MEX,dT_Farenheit_MEX,CO2_México,T_CelsiusCAN,T_FarenheitCAN,dT_Celsius_CAN,dT_Farenheit_CAN,CO2_Canada,T_CelsiusUSA,T_FarenheitUSA,dT_Celsius_USA,dT_Farenheit_USA,CO2_USA
40,1999,20.983183333333333,69.76973000000001,-0.3995916666666659,-0.7192649999999787,4.016948975,-5.460449166666667,22.1711915,-0.8010316666666668,-1.4418569999999988,16.95288535,12.155555555555557,53.88,-0.19444444444444287,-0.3499999999999943,19.72716951
41,2000,21.202516666666664,70.16453,0.21933333333333138,0.3947999999999894,4.028144635,-6.2110125,20.8201775,-0.750563333333333,-1.3510139999999993,17.41463895,11.816666666666668,53.27,-0.3388888888888886,-0.6099999999999994,20.17875051
42,2001,20.930641666666666,69.675155,-0.27187499999999787,-0.48937499999999545,4.117498953,-5.404357500000001,22.2721565,0.8066549999999992,1.4519790000000015,17.01842806,12.049999999999999,53.69,0.23333333333333073,0.4199999999999946,19.63650507
43,2002,21.129508333333334,70.03311500000001,0.1988666666666674,0.3579600000000056,4.075235494,-6.4187683333333325,20.446217,-1.014410833333332,-1.8259395000000005,16.56039221,11.783333333333335,53.21,-0.26666666666666394,-0.4799999999999969,19.61340408
44,2003,21.23239166666667,70.218305,0.10288333333333455,0.18518999999999153,4.270511506,-5.9090050000000005,21.363791,0.509763333333332,0.9175739999999983,17.47884132,11.81111111111111,53.26,0.027777777777775015,0.04999999999999716,19.56410453
45,2004,20.946258333333333,69.703265,-0.28613333333333557,-0.515039999999999,4.2224472,-7.0771283333333335,19.261169,-1.168123333333333,-2.102622,17.32455499,11.722222222222223,53.1,-0.0888888888888868,-0.1599999999999966,19.65837118
46,2005,21.293733333333332,70.32872,0.3474749999999993,0.6254550000000023,4.399422979,-5.349289166666666,22.3712795,1.7278391666666675,3.110110500000001,17.41190097,12.022222222222224,53.64,0.3000000000000007,0.5399999999999991,19.59188523
47,2006,21.432391666666664,70.578305,0.138658333333332,0.24958499999999617,4.455657766,-4.633815,23.659132999999997,0.7154741666666657,1.287853499999997,17.56133592,12.361111111111112,54.25,0.3388888888888886,0.6099999999999994,19.09406652
48,2007,21.064075,69.915335,-0.36831666666666507,-0.6629700000000014,4.401555404,-6.174463333333333,20.885966000000003,-1.5406483333333325,-2.7731669999999937,17.38715721,12.027777777777777,53.65,-0.3333333333333357,-0.6000000000000014,19.21789784
49,2008,21.026016666666667,69.84683000000001,-0.03805833333333197,-0.0685049999999876,4.451117906,-6.482341666666667,20.331785,-0.3078783333333339,-0.5541810000000034,16.89745662,11.272222222222222,52.29,-0.7555555555555546,-1.3599999999999994,18.46176387
50,2009,21.525166666666667,70.7453,0.4991500000000002,0.898469999999989,4.232033444,-6.266198333333333,20.720843000000002,0.21614333333333402,0.3890580000000021,15.82542959,11.32777777777778,52.39,0.055555555555557135,0.10000000000000142,17.15773779
51,2010,20.760716666666667,69.36929,-0.7644500000000001,-1.3760099999999937,4.069560416,-4.186646666666667,24.464036,2.0795516666666654,3.743192999999998,15.5055134,11.655555555555555,52.98,0.3277777777777757,0.5899999999999963,17.4431109
52,2011,21.534566666666667,70.76222,0.7738499999999995,1.3929299999999927,4.187104495,-5.709931666666667,21.722123,-1.5232849999999996,-2.7419130000000003,15.22379395,11.766666666666667,53.18,0.11111111111111249,0.20000000000000284,16.91520177
53,2012,21.63825,70.94885,0.10368333333333268,0.18662999999999386,4.232175308,-5.398873333333333,22.282028,0.31105833333333344,0.5599050000000005,14.91382201,12.933333333333335,55.28,1.1666666666666679,2.1000000000000014,16.19342933
54,2013,21.13035,70.03462999999999,-0.5078999999999994,-0.9142200000000003,4.126499656,-6.4649600000000005,20.363072,-1.066086666666667,-1.9189560000000014,14.7988829,11.35,52.43,-1.5833333333333357,-2.8500000000000014,16.36222413
55,2014,21.345200000000002,70.42136,0.21485000000000198,0.38673000000001423,4.000652984,-6.220375833333333,20.8033235,0.2445841666666677,0.44025150000000224,15.25547233,11.411111111111111,52.54,0.06111111111111178,0.10999999999999943,16.41657591
56,2015,21.5153,70.72754,0.17009999999999792,0.3061799999999977,3.963191128,-5.953935833333333,21.2829155,0.26643999999999934,0.47959200000000024,15.38895031,12.444444444444445,54.4,1.0333333333333332,1.8599999999999994,15.98986626
57,2016,21.7131,71.08358000000001,0.19780000000000086,0.35604000000000724,3.943827403,-4.965330833333334,23.0624045,0.9886049999999997,1.779488999999998,15.09005647,12.733333333333334,54.92,0.28888888888888964,0.5200000000000031,15.50220398
